"ifis_id","link_id","foreign_id","description"
1636,397607,"lmri4","Floyd River at Le Mars (LMRI4)"
1634,397631,"mrli4","Floyd River at Merrill (MRLI4)"
654,397674,"06600500","Floyd River at James (JMEI4-06600500)"
524,399598,"05412340","Volga River at Fayette (05412340)"
525,399711,"05412400","Volga River at Littleport (05412400)"
604,406874,"05458900","West Fork Cedar River at Finchford (FNHI4-05458900)"
560,407487,"05476735","Pilot Creek at County Hwy P15 near Rolfe (05476735)"
562,412870,"05480820","Boone River near Goldfield (05480820)"
629,412946,"05481000","Boone River near Webster City (WBCI4-05481000)"
1774,418967,"05411900","Otter Creek at Elgin (05411900)"
527,425748,"05420680","Wapsipinicon River near Tripoli (05420680)"
592,425876,"05421000","Wapsipinicon River at Independence (IDPI4-05421000)"
593,426049,"05421740","Wapsipinicon River near Anamosa (ANSI4-05421740)"
529,426130,"05421760","Wapsipinicon River at Oxford Mills (05421760)"
594,426239,"05422000","Wapsipinicon River near De Witt (DEWI4-05422000)"
522,431052,"05389400","Bloody Run Creek near Marquette (05389400)"
550,432794,"05460400","Shell Rock River near Rockford (05460400)"
606,432886,"05462000","Shell Rock River at Shell Rock (SHRI4-05462000)"
587,434365,"05411850","Turkey River near Eldorado (EDRI4-05411850)"
588,434478,"05412020","Turkey River above French Hollow Cr at Elkader (EKDI4-05412020)"
589,434514,"05412500","Turkey River at Garber (GRBI4-05412500)"
595,437890,"05449500","Iowa River near Rowan (ROWI4-05449500)"
1645,438053,"stbi4","Iowa River at Steamboat Rock (STBI4)"
1626,445204,"05460000","Clear Lake at Clear Lake (05460000-CLKI4)"
521,447887,"05389000","Yellow River near Ion (05389000)"
656,448250,"06605000","Ocheyedan River near Spencer (SPOI4-06605000)"
653,450755,"06600100","Floyd River at Alton (ALTI4-06600100)"
533,451622,"05448400","West Main Drainage Ditch 1 & 2 near Britt (05448400)"
1687,459719,"05459490","Spring Creek near Mason City (05459490)"
520,462933,"05387490","Dry Run Creek near Decorah (05387490)"
626,463732,"05478265","East Fork Des Moines River near Algona (AGNI4-05478265)"
627,463834,"05479000","East Fork Des Moines River at Dakota City (DAKI4-05479000)"
649,465030,"06483500","Rock River near Rock Valley (RKVI4-06483500)"
605,465190,"05459500","Winnebago River at Mason City (MCWI4-05459500)"
523,483619,"05411600","Turkey River at Spillville (05411600)"
1615,484173,"06604200","West Okoboji Lake at Lakeside Lab near Milford (06604200)"
1633,486880,"mifi4","Little Sioux River at Milford (MIFI4)"
576,486916,"06604440","Little Sioux River at 300th St near Spencer (06604440)"
1644,486944,"spwi4","Little Sioux River at Spencer (SPWI4)"
657,487052,"06605850","Little Sioux River at Linn Grove (LNNI4-06605850)"
1641,487160,"chki4","Little Sioux River at Cherokee (CHKI4)"
658,487254,"06606600","Little Sioux River at Correctionville (CRRI4-06606600)"
